onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
89381.70901	6.001989	2	1	1	13.0			
89387.71927	1.1920692	2	2	2	2.0			
89388.91972	1.1919126	2	3	2	21.0			
89390.12006	1.1921069	2	4	2	6.0			
89391.32878	1.1921175	2	5	2	4.0			
89392.53756	1.1920501	2	6	2	14.0			
89393.73799	1.1920536	2	7	2	23.0			
89394.93831	1.1920044	2	8	2	19.0			
89396.13875	1.1919959	2	9	2	13.0			
89397.33915	1.1920546	2	10	2	1.0			
89398.5395	1.192117	2	11	2	20.0			
89399.73995	1.1921244	2	12	2	15.0			
89400.94039	1.1920879	2	13	2	7.0			
89402.14074	1.1920569	2	14	2	12.0			
89403.34122	1.1919964	2	15	2	9.0			
89404.54153	1.1921445	2	16	2	15.0			
89405.74194	1.1921345	2	17	2	16.0			
89406.94238	1.1922431	2	18	2	11.0			
89408.14289	1.1919875	2	19	2	5.0			
89409.34315	1.1920638	2	20	2	14.0			
89410.54366	1.1920086	2	21	2	1.0			
89411.74395	1.19214	2	22	2	21.0			
89412.94435	1.1921559	2	23	2	22.0			
89414.14474	1.1920628	2	24	2	9.0			
89415.34513	1.1921423	2	25	2	23.0			
89416.54565	1.1920729	2	26	2	7.0			
89417.74594	1.1921479	2	27	2	8.0			
89418.94635	1.1919752	2	28	2	24.0			
89420.14688	1.1920022	2	29	2	4.0			
89421.34715	1.19213	2	30	2	25.0			
89422.54755	1.1920727	2	31	2	11.0			
89423.74809	1.1919207	2	32	2	10.0			
89424.94836	1.1920592	2	33	2	13.0			
89426.14876	1.192149	2	34	2	3.0			
89427.34922	1.1921217	2	35	2	8.0			
89428.54962	1.1920688	2	36	2	10.0			
89429.75007	1.1919076	2	37	2	19.0			
89430.95041	1.1921054	2	38	2	6.0			
89432.15084	1.1920438	2	39	2	22.0			
89433.35121	1.1920654	2	40	2	24.0			
89434.55157	1.1921106	2	41	2	12.0			
89435.75206	1.1919731	2	42	2	2.0			
89436.95237	1.1921217	2	43	2	25.0			
89438.15275	1.1921393	2	44	2	5.0			
89439.3532	1.1920859	2	45	2	18.0			
89440.5536	1.1920221	2	46	2	3.0			
89441.75392	1.1921885	2	47	2	17.0			
89442.95439	1.1921367	2	48	2	18.0			
89444.15477	1.1920329	2	49	2	17.0			
89445.35525	1.1919858	2	50	2	16.0			
89446.55559	1.1920598	2	51	2	20.0			
89447.75606	5.9936136	2	52	1	13.0			
89453.7663	1.1920589	2	53	3		3.0	1.0	
89454.97512	1.1920496	2	54	3		3.0	5.0	
89456.17556	1.1920126	2	55	3		2.0	14.0	
89457.37591	1.1920572	2	56	3		1.0	16.0	
89458.58466	1.1920377	2	57	3		3.0	12.0	
89459.78496	1.192068	2	58	3		1.0	10.0	
89460.98544	1.1919719	2	59	3		1.0	17.0	
89462.18569	1.1922154	2	60	3		2.0	5.0	
89463.38617	1.1921324	2	61	3		2.0	8.0	
89464.58657	1.1921407	2	62	3		3.0	13.0	
89465.78707	1.1919754	2	63	3		1.0	13.0	
89466.98738	1.1920457	2	64	3		2.0	5.0	
89468.18778	1.1921335	2	65	3		2.0	7.0	
89469.38817	1.1921293	2	66	3		1.0	7.0	
89470.58856	1.192144	2	67	3		3.0	18.0	
89471.78897	1.1920624	2	68	3		1.0	4.0	
89472.98939	1.1920533	2	69	3		3.0	15.0	
89474.18978	1.1922324	2	70	3		2.0	10.0	
89475.39023	1.1920701	2	71	3		3.0	5.0	
89476.59067	1.1919665	2	72	3		3.0	3.0	
89477.79107	1.1920847	2	73	3		1.0	14.0	
89478.99145	1.1920607	2	74	3		1.0	8.0	
89480.19178	1.1921282	2	75	3		3.0	16.0	
89481.39218	1.1919933	2	76	3		2.0	12.0	
89482.59259	1.1921231	2	77	3		2.0	3.0	
89483.79308	1.1920399	2	78	3		2.0	11.0	
89484.99334	1.1921728	2	79	3		1.0	5.0	
89486.19401	1.1918477	2	80	3		3.0	17.0	
89487.39415	1.1920975	2	81	3		3.0	11.0	
89488.59459	1.1920493	2	82	3		1.0	6.0	
89489.79499	1.1921199	2	83	3		3.0	7.0	
89490.99545	1.1920724	2	84	3		3.0	2.0	
89492.19579	1.1921322	2	85	3		2.0	17.0	
89493.39628	1.1920413	2	86	3		2.0	3.0	
89494.59658	1.1920684	2	87	3		2.0	15.0	
89495.79711	1.1920086	2	88	3		3.0	10.0	
89496.99745	1.1919101	2	89	3		2.0	2.0	
89498.1978	1.1920536	2	90	3		1.0	12.0	
89499.39819	1.1921008	2	91	3		1.0	1.0	
89500.59867	1.1919763	2	92	3		1.0	7.0	
89501.79898	1.1920555	2	93	3		2.0	9.0	
89502.9994	1.1921373	2	94	3		3.0	13.0	
89504.19979	1.1921546	2	95	3		3.0	3.0	
89505.40027	1.1920568	2	96	3		3.0	15.0	
89506.60059	1.1920565	2	97	3		2.0	13.0	
89507.801	1.1921228	2	98	3		1.0	9.0	
89509.00146	1.1920849	2	99	3		2.0	6.0	
89510.20178	1.1920606	2	100	3		1.0	16.0	
89511.40229	1.1920377	2	101	3		3.0	12.0	
89512.60259	1.1920984	2	102	3		1.0	4.0	
89513.80302	1.1920665	2	103	3		1.0	2.0	
89515.00336	1.1920997	2	104	3		2.0	16.0	
89516.20389	1.1920399	2	105	3		1.0	11.0	
89517.40429	1.1920223	2	106	3		2.0	4.0	
89518.60456	5.9937028	2	107	1	13.0			
89524.62328	3.5928565	2	108	4				3.0
89528.23289	3.5928574	2	109	4				9.0
89531.85069	3.5929234	2	110	4				1.0
89535.46863	3.5927398	2	111	4				7.0
89539.08645	3.5928704	2	112	4				8.0
89542.69603	3.5928853	2	113	4				2.0
89546.3139	3.5927653	2	114	4				4.0
89549.91506	3.5929184	2	115	4				6.0
89553.53291	3.5929482	2	116	4				10.0
89557.15079	3.5928284	2	117	4				5.0
89560.75201	5.9937611	2	118	1	13.0			
