onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
89124.98178	6.0102812	1	1	1	13.0			
89131.00887	1.1920149	1	2	2	10.0			
89132.20913	1.1921059	1	3	2	15.0			
89133.40958	1.1919752	1	4	2	14.0			
89134.61825	1.1920709	1	5	2	16.0			
89135.82711	1.1919765	1	6	2	9.0			
89137.02745	1.1919701	1	7	2	3.0			
89138.22781	1.1920939	1	8	2	24.0			
89139.4281	1.1922114	1	9	2	11.0			
89140.62872	1.1920131	1	10	2	4.0			
89141.82894	1.1921864	1	11	2	22.0			
89143.02939	1.1919998	1	12	2	5.0			
89144.22972	1.1921887	1	13	2	2.0			
89145.43016	1.1920812	1	14	2	19.0			
89146.63067	1.1919957	1	15	2	16.0			
89147.83109	1.1920327	1	16	2	20.0			
89149.03138	1.1920556	1	17	2	18.0			
89150.2318	1.192081	1	18	2	17.0			
89151.43222	1.1920328	1	19	2	5.0			
89152.63268	1.191924	1	20	2	21.0			
89153.83307	1.1920117	1	21	2	18.0			
89155.03352	1.1919361	1	22	2	4.0			
89156.23379	1.1921245	1	23	2	25.0			
89157.43426	1.1919863	1	24	2	22.0			
89158.63457	1.1921466	1	25	2	19.0			
89159.83505	1.1920587	1	26	2	17.0			
89161.03548	1.1920244	1	27	2	12.0			
89162.23579	1.1920454	1	28	2	15.0			
89163.43619	1.1921274	1	29	2	1.0			
89164.63658	1.1921293	1	30	2	13.0			
89165.83707	1.1920295	1	31	2	12.0			
89167.03755	1.1919992	1	32	2	13.0			
89168.23792	1.1919891	1	33	2	9.0			
89169.43828	1.1920318	1	34	2	1.0			
89170.63859	1.1921574	1	35	2	2.0			
89171.83898	1.1920843	1	36	2	7.0			
89173.03938	1.1921468	1	37	2	6.0			
89174.23977	1.1921487	1	38	2	10.0			
89175.44043	1.1918118	1	39	2	24.0			
89176.64065	1.1919833	1	40	2	25.0			
89177.84093	1.1921353	1	41	2	8.0			
89179.04137	1.1921335	1	42	2	11.0			
89180.2418	1.1920898	1	43	2	23.0			
89181.44217	1.1921346	1	44	2	21.0			
89182.64258	1.1920236	1	45	2	6.0			
89183.84307	1.1919758	1	46	2	7.0			
89185.04362	1.1918187	1	47	2	23.0			
89186.24376	1.1920753	1	48	2	20.0			
89187.44425	1.19209	1	49	2	14.0			
89188.64462	1.1920863	1	50	2	8.0			
89189.84497	1.1921133	1	51	2	3.0			
89191.04536	5.993674	1	52	1	13.0			
89197.05576	1.1920068	1	53	3		3.0	2.0	
89198.26453	1.1918903	1	54	3		3.0	8.0	
89199.46485	1.1921326	1	55	3		1.0	3.0	
89200.66534	1.1919632	1	56	3		3.0	16.0	
89201.874	1.1921049	1	57	3		1.0	8.0	
89203.07438	1.1920732	1	58	3		1.0	6.0	
89204.27495	1.1918169	1	59	3		3.0	13.0	
89205.47509	1.1922094	1	60	3		3.0	14.0	
89206.67557	1.1921323	1	61	3		2.0	17.0	
89207.87603	1.192058	1	62	3		1.0	8.0	
89209.07638	1.1919699	1	63	3		1.0	6.0	
89210.27677	1.1920689	1	64	3		2.0	6.0	
89211.47725	1.1920591	1	65	3		1.0	18.0	
89212.67757	1.1921326	1	66	3		2.0	7.0	
89213.87795	1.1922351	1	67	3		2.0	13.0	
89215.07845	1.1920625	1	68	3		3.0	18.0	
89216.27877	1.1920701	1	69	3		2.0	11.0	
89217.47927	1.192015	1	70	3		2.0	15.0	
89218.67958	1.1920257	1	71	3		3.0	4.0	
89219.88005	1.1922443	1	72	3		3.0	5.0	
89221.08058	1.1919395	1	73	3		1.0	2.0	
89222.28077	1.1921938	1	74	3		3.0	10.0	
89223.48136	1.191874	1	75	3		3.0	18.0	
89224.68159	1.1920953	1	76	3		2.0	13.0	
89225.88198	1.1920647	1	77	3		3.0	10.0	
89227.08238	1.1920872	1	78	3		2.0	14.0	
89228.28281	1.1920228	1	79	3		1.0	1.0	
89229.48318	1.192047	1	80	3		2.0	8.0	
89230.68358	1.1920122	1	81	3		2.0	9.0	
89231.88408	1.1919238	1	82	3		1.0	4.0	
89233.08447	1.1920406	1	83	3		3.0	17.0	
89234.28483	1.1920884	1	84	3		1.0	5.0	
89235.48523	1.1920788	1	85	3		3.0	15.0	
89236.68564	1.1919725	1	86	3		2.0	3.0	
89237.88597	1.192129	1	87	3		1.0	12.0	
89239.08637	1.1920828	1	88	3		2.0	10.0	
89240.28677	1.1921794	1	89	3		3.0	5.0	
89241.48718	1.1920953	1	90	3		2.0	1.0	
