onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
89835.17745	5.992864379	1	1	1	13.0			
89841.17865	1.1920678	1	2	2	11.0			
89842.3791	1.1920157	1	3	2	16.0			
89843.57944	1.1920597	1	4	2	4.0			
89844.77985	1.1920577	1	5	2	24.0			
89845.98024	1.1920611	1	6	2	22.0			
89847.18064	1.1920658	1	7	2	21.0			
89848.38104	1.1920499	1	8	2	7.0			
89849.58152	1.1919753	1	9	2	15.0			
89850.78183	1.192061	1	10	2	14.0			
89851.98223	1.1920646	1	11	2	2.0			
89853.18263	1.1920598	1	12	2	17.0			
89854.38303	1.1920186	1	13	2	8.0			
89855.58344	1.19205	1	14	2	23.0			
89856.78383	1.1920706	1	15	2	16.0			
89857.98422	1.1920539	1	16	2	20.0			
89859.18462	1.1920656	1	17	2	10.0			
89860.38501	1.192064	1	18	2	25.0			
89861.58541	1.1920634	1	19	2	8.0			
89862.78581	1.1920764	1	20	2	19.0			
89863.98617	1.1920941	1	21	2	23.0			
89865.18662	1.1920405	1	22	2	3.0			
89866.38699	1.1920784	1	23	2	17.0			
89867.58741	1.1920612	1	24	2	25.0			
89868.78786	1.1920131	1	25	2	10.0			
89869.9882	1.1920508	1	26	2	14.0			
89871.18861	1.1920543	1	27	2	6.0			
89872.38899	1.1920533	1	28	2	3.0			
89873.58936	1.1920928	1	29	2	5.0			
89874.7898	1.1920108	1	30	2	9.0			
89875.99019	1.1920645	1	31	2	1.0			
89877.1906	1.1920564	1	32	2	18.0			
89878.39099	1.1920656	1	33	2	13.0			
89879.59138	1.1921229	1	34	2	15.0			
89880.79175	1.1920956	1	35	2	11.0			
89881.99219	1.200398	1	36	2	22.0			
89883.20091	1.1920752	1	37	2	6.0			
89884.40132	1.1920612	1	38	2	4.0			
89885.60171	1.1920424	1	39	2	2.0			
89886.80211	1.1920607	1	40	2	21.0			
89888.00256	1.1920151	1	41	2	7.0			
89889.20287	1.1920965	1	42	2	18.0			
89890.40327	1.1921034	1	43	2	20.0			
89891.60365	1.1921171	1	44	2	13.0			
89892.8041	1.1920682	1	45	2	24.0			
89894.0045	1.192067	1	46	2	12.0			
89895.20495	1.192017	1	47	2	9.0			
89896.4053	1.1920641	1	48	2	19.0			
89897.6057	1.1920598	1	49	2	1.0			
89898.80609	1.1920699	1	50	2	12.0			
89900.00651	1.1920493	1	51	2	5.0			
89901.20689	5.9936561	1	52	1	13.0			
89907.20888	1.192025	1	53	3		3.0	18.0	
89908.40937	1.1919701	1	54	3		2.0	9.0	
89909.60968	1.1920625	1	55	3		2.0	16.0	
89910.81005	1.1920913	1	56	3		3.0	6.0	
89912.01048	1.1920413	1	57	3		1.0	3.0	
89913.21088	1.1920591	1	58	3		3.0	13.0	
89914.41127	1.1921241	1	59	3		3.0	8.0	
89915.61167	1.1920616	1	60	3		3.0	12.0	
89916.81207	1.1920603	1	61	3		1.0	5.0	
89918.0125	1.1920309	1	62	3		1.0	18.0	
89919.21287	1.1920603	1	63	3		2.0	1.0	
89920.41327	1.1920266	1	64	3		1.0	11.0	
89921.61367	1.19206	1	65	3		2.0	7.0	
89922.81407	1.192062	1	66	3		2.0	4.0	
89924.01446	1.1920669	1	67	3		3.0	16.0	
89925.21486	1.192064	1	68	3		3.0	17.0	
89926.41524	1.1920795	1	69	3		2.0	11.0	
89927.61566	1.1920548	1	70	3		1.0	12.0	
89928.81606	1.192064	1	71	3		2.0	10.0	
89930.01646	1.1920563	1	72	3		1.0	4.0	
89931.21686	1.1920367	1	73	3		3.0	6.0	
89932.41726	1.1920505	1	74	3		1.0	7.0	
89933.61765	1.1920681	1	75	3		3.0	18.0	
89934.81812	1.19199	1	76	3		2.0	9.0	
89936.01844	1.1920689	1	77	3		2.0	13.0	
89937.21885	1.1920478	1	78	3		3.0	15.0	
89938.41932	1.1919896	1	79	3		1.0	1.0	
89939.61965	1.1920625	1	80	3		2.0	5.0	
89940.82003	1.1920941	1	81	3		3.0	12.0	
89942.02045	1.1920615	1	82	3		1.0	16.0	
89943.22084	1.1920654	1	83	3		3.0	5.0	
89944.42125	1.1920656	1	84	3		1.0	9.0	
89945.62163	1.192828234	1	85	3		2.0	2.0	
89946.82204	1.1920695	1	86	3		2.0	2.0	
89948.02244	1.192059	1	87	3		1.0	15.0	
89949.22283	1.1921419	1	88	3		1.0	8.0	
89950.42324	1.1920674	1	89	3		3.0	1.0	
89951.62364	1.192035	1	90	3		2.0	14.0	
89952.82409	1.1920179	1	91	3		1.0	5.0	
89954.02443	1.1920655	1	92	3		3.0	6.0	
89955.22483	1.1920656	1	93	3		3.0	14.0	
89956.42523	1.1920248	1	94	3		1.0	2.0	
89957.62559	1.1921019	1	95	3		1.0	17.0	
89958.82604	1.1920372	1	96	3		1.0	13.0	
89960.02643	1.1920451	1	97	3		3.0	7.0	
