onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
12444.68171	5.9906675	2	1	1	13.0			
12450.6807	1.1914926	2	2	2	16.0			
12451.88053	1.191492	2	3	2	12.0			
12453.08037	1.1914748	2	4	2	6.0			
12454.28855	1.1914498	2	5	2	24.0			
12455.48841	1.1914305	2	6	2	14.0			
12456.68822	1.1915443	2	7	2	17.0			
12457.88801	1.1914911	2	8	2	7.0			
12459.08797	1.1913496	2	9	2	19.0			
12460.28766	1.1914625	2	10	2	4.0			
12461.48762	1.191364	2	11	2	2.0			
12462.68751	1.1912929	2	12	2	18.0			
12463.88713	1.1914805	2	13	2	23.0			
12465.08695	1.1914449	2	14	2	14.0			
12466.28697	1.1912956	2	15	2	8.0			
12467.4866	1.1914971	2	16	2	1.0			
12468.68654	1.1913652	2	17	2	19.0			
12469.88626	1.1914956	2	18	2	3.0			
12471.08624	1.1913279	2	19	2	9.0			
12472.2859	1.1914465	2	20	2	21.0			
12473.48582	1.1913702	2	21	2	17.0			
12474.68551	1.1915	2	22	2	25.0			
12475.88535	1.1914605	2	23	2	20.0			
12477.08529	1.191377	2	24	2	21.0			
12478.285	1.1915001	2	25	2	24.0			
12479.48484	1.1914658	2	26	2	1.0			
12480.68464	1.1914936	2	27	2	20.0			
12481.88465	1.191311	2	28	2	12.0			
12483.0843	1.1914935	2	29	2	11.0			
12484.28412	1.1915225	2	30	2	5.0			
12485.48397	1.1914543	2	31	2	11.0			
12486.68391	1.1913791	2	32	2	6.0			
12487.88361	1.1914898	2	33	2	22.0			
12489.08343	1.1914941	2	34	2	2.0			
12490.28324	1.1915058	2	35	2	7.0			
12491.48308	1.1914939	2	36	2	13.0			
12492.68304	1.1913689	2	37	2	3.0			
12493.88291	1.1913155	2	38	2	4.0			
12495.08255	1.1915081	2	39	2	25.0			
12496.28239	1.1915876	2	40	2	18.0			
12497.48221	1.1914948	2	41	2	10.0			
12498.68203	1.1916021	2	42	2	9.0			
12499.88185	1.191497	2	43	2	13.0			
12501.08167	1.1915072	2	44	2	22.0			
12502.28151	1.191481	2	45	2	10.0			
12503.48133	1.1914565	2	46	2	15.0			
12504.68115	1.1914569	2	47	2	23.0			
12505.88111	1.1913464	2	48	2	15.0			
12507.08075	1.1915527	2	49	2	8.0			
12508.28059	1.191488	2	50	2	5.0			
12509.48042	1.1915081	2	51	2	16.0			
12510.68045	5.9906232	2	52	1	13.0			
12516.6794	1.1914804	2	53	3		2.0	6.0	
12517.87921	1.1914996	2	54	3		2.0	3.0	
12519.07918	1.1913893	2	55	3		3.0	12.0	
12520.27886	1.1914932	2	56	3		2.0	12.0	
12521.47868	1.1914676	2	57	3		1.0	16.0	
12522.67848	1.1915057	2	58	3		2.0	13.0	
12523.8783	1.1914952	2	59	3		1.0	3.0	
12525.07814	1.191468	2	60	3		2.0	16.0	
12526.27798	1.1914936	2	61	3		1.0	7.0	
12527.47778	1.1915019	2	62	3		1.0	13.0	
12528.67761	1.191528	2	63	3		2.0	2.0	
12529.87745	1.1914678	2	64	3		1.0	2.0	
12531.07729	1.1914988	2	65	3		1.0	1.0	
12532.27708	1.191713067	2	66	3		1.0	3.0	
12533.4769	1.1915225	2	67	3		3.0	10.0	
12534.67675	1.1915756	2	68	3		2.0	1.0	
12535.87658	1.19148	2	69	3		3.0	8.0	
12537.07639	1.1914823	2	70	3		1.0	9.0	
12538.27625	1.1914829	2	71	3		2.0	4.0	
12539.4762	1.1913421	2	72	3		1.0	5.0	
12540.67606	1.1913015	2	73	3		3.0	10.0	
12541.8757	1.1914842	2	74	3		2.0	15.0	
12543.07553	1.1914929	2	75	3		2.0	18.0	
12544.2755	1.1914619	2	76	3		3.0	11.0	
12545.47535	1.1913358	2	77	3		3.0	3.0	
12546.67501	1.1914641	2	78	3		2.0	11.0	
12547.87495	1.1913676	2	79	3		2.0	2.0	
12549.07479	1.1913543	2	80	3		3.0	2.0	
12550.27448	1.1914734	2	81	3		2.0	9.0	
12551.4743	1.1914769	2	82	3		1.0	17.0	
12552.67411	1.1915189	2	83	3		1.0	11.0	
12553.87396	1.1914537	2	84	3		1.0	10.0	
12555.07392	1.1913276	2	85	3		2.0	14.0	
12556.27377	1.1913251	2	86	3		2.0	7.0	
12557.47342	1.191468	2	87	3		3.0	16.0	
12558.67322	1.1914947	2	88	3		3.0	1.0	
12559.87307	1.1914648	2	89	3		3.0	16.0	
12561.07309	1.1913117	2	90	3		2.0	8.0	
12562.27274	1.1914664	2	91	3		1.0	18.0	
12563.47268	1.1913678	2	92	3		1.0	15.0	
12564.67238	1.1914695	2	93	3		1.0	5.0	
12565.87219	1.1914944	2	94	3		3.0	9.0	
12567.07202	1.1915061	2	95	3		1.0	4.0	
12568.27183	1.1915066	2	96	3		1.0	6.0	
12569.47166	1.1915075	2	97	3		3.0	10.0	
12570.67151	1.191441	2	98	3		3.0	14.0	
12571.87146	1.1912956	2	99	3		3.0	3.0	
