onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
177195.1783	5.993315	2	1	1	13.0			
177201.1799	1.1920777	2	2	2	16.0			
177202.3803	1.1921015	2	3	2	9.0			
177203.5807	1.192068	2	4	2	21.0			
177204.7811	1.1920747	2	5	2	22.0			
177205.9815	1.1920633	2	6	2	17.0			
177207.1819	1.1920246	2	7	2	12.0			
177208.3823	1.1920737	2	8	2	11.0			
177209.5828	1.1920071	2	9	2	21.0			
177210.7832	1.1919998	2	10	2	14.0			
177211.9835	1.1921006	2	11	2	7.0			
177213.1839	1.1920578	2	12	2	11.0			
177214.3843	1.1920639	2	13	2	25.0			
177215.5847	1.1921383	2	14	2	18.0			
177216.7851	1.1920597	2	15	2	23.0			
177217.9855	1.192071	2	16	2	13.0			
177219.186	1.1920045	2	17	2	23.0			
177220.3863	1.1920708	2	18	2	3.0			
177221.5868	1.1920107	2	19	2	18.0			
177222.7871	1.1920642	2	20	2	15.0			
177223.9875	1.1920711	2	21	2	19.0			
177225.1879	1.1920596	2	22	2	1.0			
177226.3884	1.1920551	2	23	2	15.0			
177227.5888	1.19205	2	24	2	6.0			
177228.7891	1.1920598	2	25	2	8.0			
177229.9895	1.1920245	2	26	2	4.0			
177231.1899	1.1920617	2	27	2	12.0			
177232.3903	1.1920714	2	28	2	22.0			
177233.5907	1.1921061	2	29	2	25.0			
177234.7911	1.1920696	2	30	2	10.0			
177235.9915	1.1920991	2	31	2	4.0			
177237.1919	1.1921128	2	32	2	2.0			
177238.3923	1.1921049	2	33	2	10.0			
177239.5927	1.1920879	2	34	2	2.0			
177240.7931	1.1920709	2	35	2	8.0			
177241.9935	1.1920864	2	36	2	24.0			
177243.194	1.1921038	2	37	2	9.0			
177244.3943	1.1920677	2	38	2	20.0			
177245.5947	1.1920805	2	39	2	7.0			
177246.7951	1.1920723	2	40	2	14.0			
177247.9956	1.1920584	2	41	2	24.0			
177249.1959	1.1920669	2	42	2	6.0			
177250.3963	1.1920605	2	43	2	20.0			
177251.5968	1.1920496	2	44	2	1.0			
177252.7971	1.1920576	2	45	2	5.0			
177253.9975	1.1920633	2	46	2	16.0			
177255.1979	1.1920677	2	47	2	3.0			
177256.3983	1.1920681	2	48	2	19.0			
177257.5987	1.1920625	2	49	2	17.0			
177258.7991	1.1920573	2	50	2	13.0			
177259.9995	1.192059	2	51	2	5.0			
177261.1999	5.9936641	2	52	1	13.0			
177267.2019	1.1920618	2	53	3		1.0	11.0	
177268.4023	1.1921084	2	54	3		2.0	17.0	
177269.6027	1.1921034	2	55	3		3.0	8.0	
177270.8031	1.1920648	2	56	3		3.0	3.0	
177272.0035	1.1920199	2	57	3		3.0	13.0	
177273.2039	1.1920584	2	58	3		2.0	13.0	
177274.4043	1.1920639	2	59	3		3.0	3.0	
177275.6047	1.1920645	2	60	3		3.0	2.0	
177276.8052	1.192011	2	61	3		1.0	10.0	
177278.0055	1.1920701	2	62	3		3.0	16.0	
177279.2059	1.1920649	2	63	3		3.0	10.0	
177280.4063	1.1920836	2	64	3		1.0	6.0	
177281.6067	1.1920676	2	65	3		1.0	9.0	
177282.8071	1.1920724	2	66	3		2.0	1.0	
177284.0075	1.1921139	2	67	3		2.0	5.0	
177285.2079	1.1920714	2	68	3		3.0	11.0	
177286.4083	1.1920731	2	69	3		3.0	12.0	
177287.6087	1.1920733	2	70	3		1.0	18.0	
177288.8091	1.1920208	2	71	3		3.0	3.0	
177290.0095	1.1920228	2	72	3		2.0	10.0	
177291.2099	1.1920722	2	73	3		1.0	18.0	
177292.4103	1.1920393	2	74	3		1.0	16.0	
177293.6107	1.1920772	2	75	3		3.0	9.0	
177294.8112	1.192057	2	76	3		1.0	14.0	
177296.0115	1.1920867	2	77	3		2.0	4.0	
177297.2119	1.1920634	2	78	3		2.0	3.0	
177298.4123	1.1921028	2	79	3		1.0	4.0	
177299.6127	1.1920695	2	80	3		3.0	13.0	
177300.8132	1.1920681	2	81	3		1.0	5.0	
177302.0135	1.1920654	2	82	3		1.0	3.0	
177303.2141	1.1919579	2	83	3		1.0	15.0	
177304.4144	1.1920574	2	84	3		3.0	17.0	
177305.6147	1.1920709	2	85	3		2.0	6.0	
177306.8151	1.1920623	2	86	3		2.0	18.0	
177308.0155	1.1920662	2	87	3		1.0	5.0	
177309.216	1.1920608	2	88	3		2.0	10.0	
177310.4163	1.1920656	2	89	3		3.0	15.0	
177311.6168	1.1920608	2	90	3		3.0	10.0	
177312.8171	1.1920841	2	91	3		2.0	9.0	
177314.0176	1.1920627	2	92	3		2.0	15.0	
177315.218	1.1920614	2	93	3		3.0	6.0	
177316.4184	1.1920636	2	94	3		2.0	5.0	
177317.6188	1.1920705	2	95	3		1.0	1.0	
177318.8192	1.1920612	2	96	3		3.0	16.0	
177320.0196	1.1920336	2	97	3		3.0	13.0	
177321.22	1.1920659	2	98	3		1.0	2.0	
177322.4203	1.1920955	2	99	3		2.0	4.0	
177323.6208	1.1919596	2	100	3		2.0	8.0	
177324.8212	1.1920627	2	101	3		2.0	14.0	
177326.0215	1.1921231	2	102	3		1.0	7.0	
177327.222	1.1920357	2	103	3		1.0	12.0	
177328.4224	1.1920619	2	104	3		2.0	2.0	
177329.6228	1.1920436	2	105	3		2.0	12.0	
177330.8231	1.1921324	2	106	3		1.0	13.0	
177332.0236	5.9936674	2	107	1	13.0			
177338.0339	3.5928872	2	108	4				2.0
177341.6434	3.5928662	2	109	4				6.0
177345.253	3.592868	2	110	4				9.0
177348.8625	3.5928725	2	111	4				1.0
177352.4721	3.5929043	2	112	4				10.0
177356.0816	3.5928645	2	113	4				7.0
177359.6911	3.5928653	2	114	4				5.0
177363.2923	3.5929265	2	115	4				3.0
177366.9019	3.5928238	2	116	4				8.0
177370.503	3.5929333	2	117	4				4.0
177374.1043	5.993671	2	118	1	13.0			
