onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
5740.135743	5.9906784	1	1	1	13.0			
5746.134998	1.19124007	1	2	2	20.0			
5747.334577	1.1914796	1	3	2	7.0			
5748.534376	1.1915103	1	4	2	20.0			
5749.734221	1.1914527	1	5	2	14.0			
5750.94248	1.1914112	1	6	2	16.0			
5752.14223	1.1914672	1	7	2	2.0			
5753.342005	1.1915823	1	8	2	15.0			
5754.541876	1.191447	1	9	2	10.0			
5755.741835	1.1913572	1	10	2	15.0			
5756.941522	1.1916416	1	11	2	18.0			
5758.141527	1.1913016	1	12	2	22.0			
5759.341161	1.1915009	1	13	2	12.0			
5760.541093	1.1913938	1	14	2	19.0			
5761.740805	1.1916084	1	15	2	5.0			
5762.940742	1.1915107	1	16	2	6.0			
5764.140576	1.1913493	1	17	2	10.0			
5765.340259	1.1914921	1	18	2	3.0			
5766.540089	1.1914835	1	19	2	9.0			
5767.740085	1.1913411	1	20	2	4.0			
5768.939757	1.1914634	1	21	2	3.0			
5770.139712	1.1913323	1	22	2	1.0			
5771.339396	1.1914608	1	23	2	11.0			
5772.539338	1.1913675	1	24	2	7.0			
5773.739231	1.1913039	1	25	2	14.0			
5774.938987	1.1913411	1	26	2	21.0			
5776.138783	1.1913701	1	27	2	25.0			
5777.338638	1.191389	1	28	2	24.0			
5778.53835	1.1914987	1	29	2	18.0			
5779.738159	1.1914926	1	30	2	23.0			
5780.938105	1.1913655	1	31	2	13.0			
5782.1378	1.19172753	1	32	2	24.0			
5783.337765	1.1913742	1	33	2	9.0			
5784.537529	1.1914349	1	34	2	8.0			
5785.737294	1.1914876	1	35	2	4.0			
5786.9371	1.1915559	1	36	2	8.0			
5788.137161	1.191236655	1	37	2	17.0			
5789.336723	1.1915172	1	38	2	19.0			
5790.536564	1.1914862	1	39	2	12.0			
5791.736392	1.1916059	1	40	2	1.0			
5792.936299	1.1914695	1	41	2	17.0			
5794.136274	1.1912351	1	42	2	2.0			
5795.335853	1.1914842	1	43	2	11.0			
5796.535824	1.1913425	1	44	2	5.0			
5797.735493	1.1915116	1	45	2	13.0			
5798.935486	1.1913187	1	46	2	6.0			
5800.135151	1.1915745	1	47	2	23.0			
5801.335109	1.1913779	1	48	2	21.0			
5802.534959	1.1913345	1	49	2	22.0			
5803.73473	1.191447	1	50	2	16.0			
5804.934509	1.1914156	1	51	2	25.0			
5806.134408	5.9907949	1	52	1	13.0			
5812.133386	1.1915166	1	53	3		1.0	6.0	
5813.333211	1.1914842	1	54	3		3.0	9.0	
5814.533028	1.1915233	1	55	3		2.0	17.0	
5815.732884	1.191505	1	56	3		3.0	18.0	
5816.932719	1.1914783	1	57	3		1.0	13.0	
5818.13253	1.1914653	1	58	3		1.0	1.0	
5819.332442	1.191421	1	59	3		1.0	18.0	
