onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
95543.67794	6.0019146	1	1	1	13.0			
95549.6966	1.1920225	1	2	2	25.0			
95550.89694	1.1921039	1	3	2	14.0			
95552.09738	1.1920282	1	4	2	18.0			
95553.30612	1.1920282	1	5	2	11.0			
95554.51476	1.1921523	1	6	2	9.0			
95555.71521	1.1920421	1	7	2	20.0			
95556.91557	1.191994	1	8	2	22.0			
95558.11592	1.1921702	1	9	2	19.0			
95559.31632	1.1921027	1	10	2	2.0			
95560.51676	1.1920595	1	11	2	5.0			
95561.71716	1.1921444	1	12	2	13.0			
95562.91755	1.1921288	1	13	2	12.0			
95564.11805	1.1919649	1	14	2	10.0			
95565.31836	1.192085	1	15	2	22.0			
95566.51875	1.192084	1	16	2	23.0			
95567.71915	1.1920866	1	17	2	21.0			
95568.91961	1.1920311	1	18	2	20.0			
95570.11995	1.1920862	1	19	2	10.0			
95571.32035	1.1920845	1	20	2	4.0			
95572.52083	1.1920364	1	21	2	3.0			
95573.72115	1.1920861	1	22	2	16.0			
95574.92154	1.1920592	1	23	2	2.0			
95576.12194	1.1920881	1	24	2	18.0			
95577.32241	1.1919927	1	25	2	12.0			
95578.52274	1.1920491	1	26	2	1.0			
95579.72314	1.1921224	1	27	2	15.0			
95580.92354	1.1920443	1	28	2	6.0			
95582.12394	1.1921204	1	29	2	13.0			
95583.32434	1.1920792	1	30	2	25.0			
95584.52474	1.1920907	1	31	2	1.0			
95585.72519	1.1920079	1	32	2	3.0			
95586.92554	1.1921247	1	33	2	23.0			
95588.12599	1.1920944	1	34	2	19.0			
95589.32632	1.1921273	1	35	2	24.0			
95590.52677	1.1920894	1	36	2	7.0			
95591.72719	1.1920456	1	37	2	11.0			
95592.92748	1.1920797	1	38	2	8.0			
95594.12793	1.1920173	1	39	2	6.0			
95595.32833	1.192053	1	40	2	24.0			
95596.52873	1.1919871	1	41	2	16.0			
95597.72928	1.1919076	1	42	2	17.0			
95598.92949	1.1920958	1	43	2	9.0			
95600.12993	1.1920539	1	44	2	8.0			
95601.33032	1.1921287	1	45	2	15.0			
95602.53073	1.1920629	1	46	2	14.0			
95603.73127	1.1919807	1	47	2	5.0			
95604.93152	1.1921323	1	48	2	4.0			
95606.13192	1.1920865	1	49	2	17.0			
95607.33257	1.1918974	1	50	2	21.0			
95608.53268	1.1921164	1	51	2	7.0			
95609.73326	5.9935636	1	52	1	13.0			
95615.74361	1.1919723	1	53	3		3.0	9.0	
95616.95226	1.1919826	1	54	3		3.0	18.0	
95618.1526	1.1921133	1	55	3		2.0	10.0	
95619.35298	1.1921305	1	56	3		1.0	2.0	
95620.56177	1.1920011	1	57	3		3.0	15.0	
95621.76214	1.1921679	1	58	3		3.0	1.0	
95622.96251	1.1919759	1	59	3		2.0	11.0	
95624.16283	1.1922201	1	60	3		1.0	9.0	
95625.36332	1.192129	1	61	3		2.0	11.0	
95626.56371	1.1920753	1	62	3		1.0	5.0	
95627.76434	1.1919256	1	63	3		3.0	1.0	
95628.96451	1.1921306	1	64	3		2.0	17.0	
95630.16497	1.1920033	1	65	3		1.0	3.0	
95631.36532	1.1921296	1	66	3		2.0	7.0	
95632.56581	1.1919593	1	67	3		3.0	8.0	
95633.76612	1.1921772	1	68	3		1.0	17.0	
95634.96656	1.1920414	1	69	3		1.0	1.0	
95636.16691	1.1921307	1	70	3		3.0	14.0	
95637.36725	1.1921095	1	71	3		3.0	10.0	
95638.56782	1.1920524	1	72	3		2.0	18.0	
95639.7681	1.1920536	1	73	3		1.0	5.0	
95640.96851	1.1920328	1	74	3		3.0	8.0	
95642.16891	1.1921221	1	75	3		2.0	13.0	
95643.36927	1.1921696	1	76	3		3.0	4.0	
95644.56973	1.1921059	1	77	3		2.0	1.0	
95645.77024	1.1918603	1	78	3		2.0	15.0	
95646.97054	1.1920944	1	79	3		3.0	7.0	
95648.1709	1.1921595	1	80	3		1.0	11.0	
95649.3713	1.1920942	1	81	3		1.0	18.0	
95650.57167	1.1921677	1	82	3		1.0	14.0	
95651.7721	1.1920589	1	83	3		3.0	17.0	
95652.97251	1.1921495	1	84	3		2.0	8.0	
95654.1729	1.192094	1	85	3		2.0	9.0	
95655.3733	1.1920903	1	86	3		2.0	5.0	
95656.5737	1.1921341	1	87	3		1.0	8.0	
95657.77419	1.1920393	1	88	3		3.0	13.0	
95658.97452	1.1921247	1	89	3		1.0	2.0	
95660.17495	1.1920912	1	90	3		2.0	2.0	
95661.37529	1.1920879	1	91	3		3.0	2.0	
95662.57572	1.1919989	1	92	3		2.0	4.0	
95663.77606	1.1921811	1	93	3		2.0	11.0	
95664.97659	1.1919596	1	94	3		1.0	10.0	
95666.1769	1.1920686	1	95	3		1.0	15.0	
95667.37736	1.1920576	1	96	3		3.0	10.0	
95668.5777	1.192172	1	97	3		1.0	13.0	
95669.77811	1.1920449	1	98	3		2.0	16.0	
