onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
176953.306	6.0101632	1	1	1	13.0			
176959.3245	1.1920687	1	2	2	15.0			
176960.5249	1.1920552	1	3	2	7.0			
176961.7253	1.1920577	1	4	2	3.0			
176962.9257	1.1920607	1	5	2	18.0			
176964.1261	1.1920624	1	6	2	9.0			
176965.3265	1.1920606	1	7	2	12.0			
176966.5269	1.1920637	1	8	2	4.0			
176967.7273	1.1920582	1	9	2	25.0			
176968.9277	1.1920602	1	10	2	17.0			
176970.1281	1.1920648	1	11	2	6.0			
176971.3285	1.1920631	1	12	2	2.0			
176972.5289	1.1920483	1	13	2	7.0			
176973.7293	1.1920734	1	14	2	14.0			
176974.9297	1.1920666	1	15	2	5.0			
176976.1301	1.1920664	1	16	2	22.0			
176977.3305	1.1920615	1	17	2	19.0			
176978.5309	1.1920577	1	18	2	12.0			
176979.7313	1.1921247	1	19	2	20.0			
176980.9317	1.1920666	1	20	2	16.0			
176982.1321	1.1920642	1	21	2	24.0			
176983.3325	1.1920594	1	22	2	19.0			
176984.5328	1.1921113	1	23	2	22.0			
176985.7333	1.1920317	1	24	2	16.0			
176986.9337	1.1920511	1	25	2	8.0			
176988.1341	1.1919612	1	26	2	14.0			
176989.3344	1.1920761	1	27	2	25.0			
176990.5349	1.1920547	1	28	2	1.0			
176991.7352	1.1920638	1	29	2	11.0			
176992.9356	1.1920603	1	30	2	6.0			
176994.136	1.2004403	1	31	2	1.0			
176995.3448	1.1920589	1	32	2	4.0			
176996.5452	1.1920668	1	33	2	23.0			
176997.7456	1.1920515	1	34	2	24.0			
176998.946	1.1920652	1	35	2	11.0			
177000.1464	1.1920652	1	36	2	21.0			
177001.3467	1.1920918	1	37	2	9.0			
177002.5472	1.1920349	1	38	2	17.0			
177003.7476	1.1920552	1	39	2	13.0			
177004.9479	1.1920293	1	40	2	18.0			
177006.1483	1.192094	1	41	2	3.0			
177007.3488	1.1920199	1	42	2	15.0			
177008.5492	1.1920643	1	43	2	13.0			
177009.7496	1.1920281	1	44	2	23.0			
177010.9499	1.1920887	1	45	2	10.0			
177012.1504	1.1920972	1	46	2	5.0			
177013.3508	1.1920597	1	47	2	21.0			
177014.5512	1.1920338	1	48	2	2.0			
177015.7516	1.1920353	1	49	2	20.0			
177016.9519	1.1921065	1	50	2	10.0			
177018.1524	1.1920177	1	51	2	8.0			
177019.3527	5.9936623	1	52	1	13.0			
177025.3547	1.1920638	1	53	3		3.0	4.0	
177026.5551	1.1920641	1	54	3		2.0	11.0	
177027.7555	1.1920993	1	55	3		3.0	13.0	
177028.9559	1.1920609	1	56	3		3.0	2.0	
177030.1563	1.1920731	1	57	3		2.0	18.0	
177031.3567	1.1920538	1	58	3		2.0	10.0	
177032.5572	1.1920462	1	59	3		3.0	7.0	
177033.7575	1.1920568	1	60	3		3.0	11.0	
177034.9579	1.1920687	1	61	3		1.0	2.0	
177036.1583	1.1920288	1	62	3		2.0	15.0	
177037.3587	1.1920668	1	63	3		1.0	14.0	
177038.5591	1.1920596	1	64	3		1.0	15.0	
177039.7595	1.1920691	1	65	3		3.0	3.0	
177040.9599	1.1920515	1	66	3		1.0	6.0	
177042.1603	1.1920652	1	67	3		2.0	1.0	
177043.3607	1.1920658	1	68	3		1.0	4.0	
177044.5611	1.1921223	1	69	3		2.0	10.0	
177045.7615	1.1920608	1	70	3		2.0	14.0	
177046.9619	1.1920633	1	71	3		1.0	18.0	
177048.1623	1.1920834	1	72	3		3.0	9.0	
177049.3628	1.191993	1	73	3		3.0	17.0	
177050.5631	1.1920433	1	74	3		3.0	8.0	
177051.7635	1.1920668	1	75	3		1.0	11.0	
177052.9639	1.1920645	1	76	3		2.0	4.0	
177054.1643	1.1920893	1	77	3		2.0	3.0	
177055.3647	1.1920739	1	78	3		1.0	10.0	
177056.5651	1.1920666	1	79	3		3.0	2.0	
177057.7655	1.1920605	1	80	3		1.0	13.0	
177058.9659	1.1920862	1	81	3		3.0	10.0	
177060.1663	1.1920562	1	82	3		3.0	17.0	
177061.3667	1.1920548	1	83	3		1.0	9.0	
177062.5671	1.19204	1	84	3		3.0	16.0	
177063.7675	1.1919925	1	85	3		2.0	17.0	
177064.9679	1.192068	1	86	3		2.0	5.0	
177066.1683	1.1920688	1	87	3		3.0	6.0	
177067.3687	1.1920628	1	88	3		2.0	15.0	
177068.5691	1.1920285	1	89	3		3.0	6.0	
177069.7695	1.1920619	1	90	3		1.0	8.0	
177070.9699	1.1920678	1	91	3		1.0	16.0	
177072.1703	1.1920568	1	92	3		3.0	10.0	
177073.3707	1.1919839	1	93	3		1.0	7.0	
177074.5711	1.1920851	1	94	3		3.0	13.0	
177075.7715	1.1920698	1	95	3		2.0	3.0	
177076.9719	1.1920409	1	96	3		2.0	16.0	
177078.1723	1.1920794	1	97	3		2.0	9.0	
177079.3727	1.1920291	1	98	3		3.0	14.0	
177080.5731	1.19211	1	99	3		1.0	17.0	
