onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
177441.0183	6.0019589	3	1	1	13.0			
177447.0285	1.1920769	3	2	2	24.0			
177448.2289	1.19217	3	3	2	18.0			
177449.4293	1.1920901	3	4	2	11.0			
177450.6297	1.1920792	3	5	2	23.0			
177451.8301	1.1920783	3	6	2	21.0			
177453.0305	1.1920943	3	7	2	10.0			
177454.2309	1.1920416	3	8	2	1.0			
177455.4313	1.1921168	3	9	2	20.0			
177456.6317	1.1920781	3	10	2	15.0			
177457.8321	1.1920584	3	11	2	1.0			
177459.0325	1.1920426	3	12	2	6.0			
177460.2329	1.1921232	3	13	2	13.0			
177461.4334	1.1920519	3	14	2	9.0			
177462.6338	1.192024	3	15	2	2.0			
177463.8341	1.1920701	3	16	2	17.0			
177465.0346	1.1919927	3	17	2	16.0			
177466.2349	1.1920638	3	18	2	4.0			
177467.4353	1.1920632	3	19	2	25.0			
177468.6357	1.1920445	3	20	2	7.0			
177469.8361	1.192018	3	21	2	10.0			
177471.0365	1.1921283	3	22	2	22.0			
177472.237	1.1920072	3	23	2	3.0			
177473.4373	1.1920675	3	24	2	18.0			
177474.6377	1.1920538	3	25	2	4.0			
177475.8381	1.1920626	3	26	2	12.0			
177477.0385	1.1920343	3	27	2	15.0			
177478.2389	1.1920307	3	28	2	2.0			
177479.4393	1.1920522	3	29	2	22.0			
177480.6397	1.1920422	3	30	2	14.0			
177481.8401	1.1920524	3	31	2	17.0			
177483.0405	1.1920991	3	32	2	5.0			
177484.2409	1.1921153	3	33	2	8.0			
177485.4413	1.1921064	3	34	2	19.0			
177486.6417	1.192145	3	35	2	13.0			
177487.8421	1.1920739	3	36	2	3.0			
177489.0425	1.1921055	3	37	2	12.0			
177490.243	1.1920559	3	38	2	19.0			
177491.4434	1.1919309	3	39	2	9.0			
177492.6437	1.1920566	3	40	2	16.0			
177493.8442	1.1920278	3	41	2	25.0			
177495.0446	1.1921144	3	42	2	5.0			
177496.245	1.192032	3	43	2	8.0			
177497.4454	1.1920582	3	44	2	7.0			
177498.6458	1.1920966	3	45	2	21.0			
177499.8462	1.1920777	3	46	2	6.0			
177501.0465	1.1921293	3	47	2	11.0			
177502.247	1.1920665	3	48	2	14.0			
177503.4474	1.192147	3	49	2	23.0			
177504.6478	1.1920908	3	50	2	20.0			
177505.8481	1.1920223	3	51	2	24.0			
177507.0485	5.9936604	3	52	1	13.0			
177513.0505	1.1921619	3	53	3		2.0	12.0	
177514.251	1.192061	3	54	3		2.0	14.0	
177515.4514	1.1920696	3	55	3		1.0	1.0	
177516.6518	1.1920735	3	56	3		2.0	8.0	
177517.8522	1.1920766	3	57	3		1.0	13.0	
177519.0526	1.1920616	3	58	3		2.0	4.0	
177520.253	1.1920798	3	59	3		2.0	4.0	
177521.4534	1.1920239	3	60	3		2.0	15.0	
177522.6537	1.1920687	3	61	3		2.0	16.0	
177523.8542	1.1920966	3	62	3		3.0	1.0	
177525.0546	1.1920374	3	63	3		3.0	8.0	
177526.255	1.1920189	3	64	3		1.0	17.0	
177527.4553	1.1921213	3	65	3		3.0	4.0	
177528.6557	1.1921371	3	66	3		2.0	6.0	
177529.8561	1.1920592	3	67	3		3.0	12.0	
177531.0566	1.1920693	3	68	3		1.0	3.0	
177532.257	1.1921002	3	69	3		3.0	16.0	
