onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
9652.851302	6.0018076	1	1	1	13.0			
9658.869916	1.1920696	1	2	2	10.0			
9660.070245	1.2003709	1	3	2	11.0			
9661.278903	1.1922325	1	4	2	17.0			
9662.487714	1.1920545	1	5	2	8.0			
9663.69646	1.1921187	1	6	2	15.0			
9664.896955	1.1919865	1	7	2	5.0			
9666.097305	1.1919961	1	8	2	21.0			
9667.297617	1.1921399	1	9	2	9.0			
9668.498141	1.1919632	1	10	2	24.0			
9669.698451	1.1920845	1	11	2	13.0			
9670.898898	1.1920723	1	12	2	21.0			
9672.09924	1.1921186	1	13	2	23.0			
9673.299606	1.1920949	1	14	2	5.0			
9674.500008	1.1921956	1	15	2	7.0			
9675.700499	1.2003311	1	16	2	6.0			
9676.909219	1.1920139	1	17	2	22.0			
9678.109663	1.1920371	1	18	2	16.0			
9679.309969	1.1920977	1	19	2	17.0			
9680.510375	1.1920518	1	20	2	14.0			
9681.710769	1.192159	1	21	2	4.0			
9682.911163	1.1921286	1	22	2	19.0			
9684.111657	1.1920607	1	23	2	4.0			
9685.311962	1.192145	1	24	2	2.0			
9686.512416	1.1920787	1	25	2	20.0			
9687.712829	1.1919771	1	26	2	23.0			
9688.913209	1.1920861	1	27	2	22.0			
9690.113606	1.1920806	1	28	2	25.0			
9691.313956	1.192126	1	29	2	13.0			
9692.514368	1.1921121	1	30	2	3.0			
9693.714879	1.1919356	1	31	2	10.0			
9694.915223	1.1920649	1	32	2	18.0			
9696.115549	1.1920972	1	33	2	12.0			
9697.316016	1.1919979	1	34	2	20.0			
9698.516353	1.1921567	1	35	2	1.0			
9699.716687	1.1921211	1	36	2	19.0			
9700.917148	1.1921559	1	37	2	7.0			
9702.117507	1.192161	1	38	2	11.0			
9703.318055	1.1919834	1	39	2	6.0			
9704.518347	1.1921248	1	40	2	12.0			
9705.718758	1.1921121	1	41	2	9.0			
9706.919144	1.1920562	1	42	2	8.0			
9708.119533	1.1921658	1	43	2	3.0			
9709.319949	1.1920874	1	44	2	15.0			
9710.520441	1.1920302	1	45	2	1.0			
9711.720733	1.192063	1	46	2	14.0			
9712.921147	1.1921202	1	47	2	25.0			
9714.121534	1.1921177	1	48	2	24.0			
9715.321893	1.1921316	1	49	2	18.0			
9716.522343	1.1921188	1	50	2	2.0			
9717.722732	1.1920632	1	51	2	16.0			
9718.923131	5.9936863	1	52	1	13.0			
9724.933461	1.1920222	1	53	3		3.0	2.0	
9726.142173	1.1921506	1	54	3		3.0	15.0	
9727.342596	1.1921248	1	55	3		2.0	7.0	
9728.542992	1.1920654	1	56	3		2.0	12.0	
9729.751739	1.1920969	1	57	3		1.0	15.0	
9730.952198	1.1920605	1	58	3		2.0	2.0	
9732.152526	1.1919734	1	59	3		1.0	10.0	
9733.352876	1.1921724	1	60	3		1.0	7.0	
9734.553386	1.191999	1	61	3		1.0	3.0	
9735.753728	1.1921386	1	62	3		2.0	11.0	
9736.95413	1.1921236	1	63	3		3.0	3.0	
9738.154523	1.1921324	1	64	3		1.0	1.0	
9739.354971	1.1920829	1	65	3		2.0	10.0	
9740.555419	1.1920248	1	66	3		2.0	15.0	
9741.755731	1.1921258	1	67	3		1.0	13.0	
9742.956117	1.1920978	1	68	3		3.0	7.0	
9744.156528	1.1921199	1	69	3		3.0	8.0	
9745.356915	1.1921249	1	70	3		1.0	2.0	
9746.557317	1.1920599	1	71	3		1.0	8.0	
9747.757721	1.1921245	1	72	3		2.0	14.0	
9748.958114	1.1920619	1	73	3		2.0	14.0	
9750.158679	1.1919007	1	74	3		3.0	1.0	
9751.359008	1.1919668	1	75	3		2.0	7.0	
9752.559329	1.1921111	1	76	3		3.0	18.0	
9753.759715	1.1921254	1	77	3		2.0	16.0	
9754.960176	1.1919965	1	78	3		3.0	10.0	
9756.160602	1.1920386	1	79	3		3.0	6.0	
9757.360987	1.1922457	1	80	3		3.0	3.0	
9758.561313	1.1920258	1	81	3		2.0	17.0	
9759.761724	1.1920673	1	82	3		1.0	6.0	
9760.962103	1.1921584	1	83	3		1.0	16.0	
9762.162501	1.1920677	1	84	3		3.0	13.0	
9763.362976	1.1920598	1	85	3		3.0	8.0	
9764.563294	1.1920773	1	86	3		3.0	11.0	
9765.763708	1.1920528	1	87	3		1.0	17.0	
9766.964109	1.1920764	1	88	3		3.0	4.0	
9768.164468	1.1920949	1	89	3		1.0	5.0	
9769.364998	1.1919982	1	90	3		3.0	13.0	
9770.565302	1.1921136	1	91	3		2.0	5.0	
9771.765699	1.1920603	1	92	3		1.0	8.0	
9772.966107	1.1920544	1	93	3		3.0	15.0	
9774.166501	1.1920609	1	94	3		3.0	17.0	
9775.3669	1.1920445	1	95	3		2.0	4.0	
9776.567394	1.1920347	1	96	3		1.0	9.0	
9777.767703	1.1921407	1	97	3		1.0	14.0	
9778.968086	1.1920252	1	98	3		2.0	8.0	
9780.168497	1.1920793	1	99	3		1.0	11.0	
9781.368916	1.1922685	1	100	3		2.0	18.0	
9782.569493	1.1919108	1	101	3		2.0	13.0	
9783.769696	1.1920617	1	102	3		1.0	12.0	
9784.970192	1.191987	1	103	3		2.0	3.0	
9786.170537	1.1921109	1	104	3		3.0	16.0	
9787.370893	1.1920405	1	105	3		2.0	9.0	
9788.571349	1.192003	1	106	3		1.0	18.0	
9789.771755	5.9935447	1	107	1	13.0			
9795.790377	3.609512	1	108	4				6.0
9799.424982	3.5932188	1	109	4				3.0
9803.042787	3.5929685	1	110	4				1.0
9806.660655	3.5929151	1	111	4				8.0
9810.278516	3.5928599	1	112	4				7.0
9813.896466	3.5928497	1	113	4				5.0
9817.514321	3.5927928	1	114	4				2.0
9821.132126	3.5929329	1	115	4				10.0
9824.750075	3.5928563	1	116	4				4.0
9828.367954	3.5928493	1	117	4				9.0
9831.969179	6.0019616	1	118	1	13.0			
