onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
89510.9559	5.9936604	2	1	1	13.0			
89516.95794	1.192007	2	2	2	3.0			
89518.15834	1.1919375	2	3	2	23.0			
89519.35864	1.1920576	2	4	2	9.0			
89520.56749	1.1919419	2	5	2	23.0			
89521.76776	1.1920659	2	6	2	15.0			
89522.96829	1.1920234	2	7	2	17.0			
89524.16871	1.1920315	2	8	2	16.0			
89525.36896	1.1920734	2	9	2	11.0			
89526.56936	1.1920948	2	10	2	5.0			
89527.76984	1.192085	2	11	2	19.0			
89528.97016	1.1920771	2	12	2	14.0			
89530.17065	1.1919658	2	13	2	2.0			
89531.37101	1.1920301	2	14	2	20.0			
89532.57137	1.1920304	2	15	2	22.0			
89533.77174	1.192112	2	16	2	14.0			
89534.97226	1.1919553	2	17	2	22.0			
89536.17261	1.1919867	2	18	2	12.0			
89537.37305	1.19206	2	19	2	9.0			
89538.57339	1.1920102	2	20	2	11.0			
89539.77389	1.1920466	2	21	2	24.0			
89540.97416	1.192037	2	22	2	17.0			
89542.17467	1.1919327	2	23	2	6.0			
89543.37497	1.192049	2	24	2	18.0			
89544.57548	1.1919811	2	25	2	8.0			
89545.77587	1.1919816	2	26	2	13.0			
89546.97621	1.1920519	2	27	2	8.0			
89548.17664	1.1920886	2	28	2	3.0			
89549.37698	1.1921733	2	29	2	1.0			
89550.57743	1.1919549	2	30	2	6.0			
89551.77782	1.1919998	2	31	2	10.0			
89552.97822	1.1919801	2	32	2	21.0			
89554.17863	1.1920439	2	33	2	16.0			
89555.37904	1.191934	2	34	2	15.0			
89556.57931	1.1920795	2	35	2	4.0			
89557.7797	1.1920882	2	36	2	25.0			
89558.9802	1.1919775	2	37	2	13.0			
89560.18064	1.1920466	2	38	2	21.0			
89561.38094	1.192124	2	39	2	18.0			
89562.58141	1.1919755	2	40	2	12.0			
89563.78172	1.1921499	2	41	2	19.0			
89564.98221	1.192058	2	42	2	25.0			
89566.1825	1.1920618	2	43	2	7.0			
89567.38301	1.1920535	2	44	2	24.0			
89568.58329	1.1921887	2	45	2	2.0			
89569.78382	1.1920027	2	46	2	1.0			
89570.98412	1.1921497	2	47	2	10.0			
89572.18459	1.1919763	2	48	2	4.0			
89573.38507	1.1919008	2	49	2	20.0			
89574.58535	1.1920012	2	50	2	5.0			
89575.78583	1.1920692	2	51	2	7.0			
